"id","region","name","group_title","tvg_id","last_status","stream_url"
"cnn_fast_lu_geo_us","US","CNN FAST (LU) Geo","General","","200","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00405-rakutentv-cnnfastlg-rakuten-lglu/playlist.m3u8"
"cnn_fast_nl_geo_us","US","CNN FAST (NL) Geo","General","","200","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00405-rakutentv-cnnfastlg-rakuten-lgnl/playlist.m3u8"
"cnn_fast_no_geo_us","US","CNN FAST (NO) Geo","General","","200","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00405-rakutentv-cnnfastlg-rakuten-lgno/playlist.m3u8"
"cnn_fast_pt_geo_us","US","CNN FAST (PT) Geo","General","","200","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00405-rakutentv-cnnfastlg-rakuten-lgpt/playlist.m3u8"
"cnn_fast_se_geo_us","US","CNN FAST (SE) Geo","General","","200","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00405-rakutentv-cnnfastlg-rakuten-lgse/playlist.m3u8"
"cnn_fast_alt_at_us","US","CNN FAST alt (AT)","General","","206","https://amg00803-cnnfast-amg00803c6-lg-at-5357.playouts.now.amagi.tv/playlist.m3u8"
"cnn_fast_alt_ch_us","US","CNN FAST alt (CH)","General","","206","https://amg00803-cnnfast-amg00803c6-lg-ch-5358.playouts.now.amagi.tv/playlist.m3u8"
"cnn_headlines_us","US","CNN Headlines","News","XUMO_99951386","200","https://dbrb49pjoymg4.cloudfront.net/10001/99951386/hls/playlist.m3u8?ads.xumo_channelId=99951386&ads._fw_ifa_type=[IFA_TYPE]&ads._fw_did=[IFA]&ads.amznappId=[AMZN_APP_ID]&ads.lat=[LAT]&ads.lon=[LON]&ads.os=[OS]&ads.osv=[OS_VERSION]&ads.asnw=&ads.caid=WBDCNNHeadlines&ads.csid=xumo_[PLATFORM]_WBDCNNHeadlines_ssai&ads._fw_is_lat=[IS_LAT]&ads._fw_us_privacy=[CCPA_Value]&ads._fw_coppa=0&ads.genre=News,N,DN,Local,LocalNews,News-Local&ads._fw_content_category=[IAB_content_category]&ads._fw_content_language=[content_language]&ads._fw_content_genre=News,N,DN,Local,LocalNews,News-Local&ads._fw_content_rating=[content_rating]&ads.xumo_contentId=4193&ads.xumo_contentName=WBDCNNHeadlines&ads.xumo_providerId=4193&ads.xumo_providerName=WBDCNNHeadlines&ads._fw_deviceMake=[device_make]&ads._fw_device_model=[device_model]&ads.channelId=99951386&ads.xumo_platform=[PLATFORM]&ads.site_id=[publica_site_id]&ads.appName=xumo&ads.appVersion=[APP_VERSION]&ads._fw_app_bundle=[app_bundle]&ads._fw_app_store_url=[app_store_url]"
"cnn_international_us","US","CNN International","News","CNNInternationalEurope.us","200","https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8"
"cnn_news_18_in_geo_us","US","CNN News 18 (IN) Geo","General","","206","https://amg00866-amg00866c5-lg-in-3520.playouts.now.amagi.tv/playlist.m3u8"
