"id","name","region","group_title","tvg_id","enabled","last_checked_ok","last_status","last_error"
"pluto_tv_game_shows_us","Pluto TV Game Shows","US","Entertainment","PlutoTVGameShows.us@SD","false","true","200",""
"pluto_tv_reality_us","Pluto TV Reality","US","Entertainment","PlutoTVReality.us@UK","false","true","200",""
"pluto_tv_reality_us_2","Pluto TV Reality","US","Entertainment","PlutoTVReality.us@US","false","true","200",""
"pluto_tv_retr_us","Pluto TV Retrô","US","Entertainment","PlutoTVRetro.us@Brazil","false","true","200",""
"rakuten_viki_us","Rakuten VIKI","US","Entertainment;Series","RakutenViki.us@Poland","false","true","200",""
"rakuten_viki_1080p_us","Rakuten Viki (1080p)","US","Entertainment;Series","RakutenViki.us@Spain","false","true","206",""
"rakuten_viki_1080p_us_2","Rakuten Viki (1080p)","US","Entertainment;Series","RakutenViki.us@US","false","true","206",""
"revry_latinx_us","Revry LatinX","US","Entertainment","RevryLatinX.us@SD","false","true","200",""
"like_gecko_chrome_145_0_0_0_safari_537_36_edg_145_0_0_0_group_title_entertainment_sports_right_now_tv_720p_us","like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Entertainment;Sports"",Right Now Tv (720p)","US","Entertainment;Sports","RightNowTV.us@SD","false","true","206",""
"roar_1080p_us","Roar (1080p)","US","Entertainment","Roar.us@SD","false","true","206",""
"shabakeh_7_us","Shabakeh 7","US","Entertainment","Shabakeh7.us@SD","false","true","206",""
"talkin_live_classics_tv_480p_us","Talkin Live Classics TV (480p)","US","Entertainment","TalkinLiveClassicsTV.us@SD","false","true","206",""
"tele_boston_480p_us","Tele Boston (480p)","US","Entertainment","TeleBoston.us@SD","false","true","206",""
"telemundo_corpus_christi_720p_us","Telemundo Corpus Christi (720p)","US","Entertainment","TelemundoCorpusChristi.us@SD","false","true","200",""
"the_nest_us","The Nest","US","Documentary;Entertainment","TheNest.us@SD","false","true","206",""
"the_price_is_right_us","The Price Is Right","US","Entertainment","ThePriceIsRight.us@HD","false","true","200",""
"the_price_is_right_the_barker_era_1080p_geo_blocked_us","The Price Is Right: The Barker Era (1080p) [Geo-blocked]","US","Entertainment","ThePriceIsRightTheBarkerEra.us@SD","false","true","200",""
"tin_tv_720p_us","Tin TV (720p)","US","Entertainment","TinTV.us@SD","false","true","200",""
"tvs_flashback_network_360p_us","TVS Flashback Network (360p)","US","Entertainment","TVSFlashbackNetwork.us@SD","false","true","200",""
"tvs_vintage_network_360p_us","TVS Vintage Network (360p)","US","Entertainment","TVSVintageNetwork.us@SD","false","true","200",""
"undercover_boss_720p_us","Undercover Boss (720p)","US","Entertainment","UndercoverBossGlobal.us@UK","false","true","206",""
